FID,StationID,Bight,Latitude,Longitude
115,1655,1994,33.177116669999997,-117.461283300000010
116,1660,1994,33.163899999999998,-117.393016700000000
117,1662,1994,33.159316670000003,-117.427116700000000
118,1667,1994,33.143983329999998,-117.377966700000000
119,1684,1994,33.070983329999997,-117.316016700000010
120,1728,1994,32.921500000000002,-117.295500000000000
121,1734,1994,32.884999999999998,-117.272166700000000
122,1737,1994,32.877833330000001,-117.314500000000000
123,1739,1994,32.871499999999997,-117.256666700000000
124,1757,1994,32.826333329999997,-117.324000000000000
125,1767,1994,32.805000000000000,-117.346833300000000
126,1769,1994,32.803166670000003,-117.328500000000010
127,1770,1994,32.796333330000003,-117.359666700000010
128,1774,1994,32.792999999999999,-117.370500000000010
129,1776,1994,32.790500000000002,-117.282833299999990
130,1780,1994,32.784166669999998,-117.268166699999990
131,1791,1994,32.768999999999998,-117.278833300000000
132,1793,1994,32.765833299999997,-117.273666700000010
133,1794,1994,32.764000000000003,-117.366500000000000
134,1797,1994,32.757666669999999,-117.337833300000000
135,1799,1994,32.754833329999997,-117.269166700000000
136,1804,1994,32.750500000000002,-117.278499999999990
137,1811,1994,32.739166670000003,-117.272000000000010
138,1825,1994,32.707666670000002,-117.304333300000000
139,1828,1994,32.704000000000001,-117.319333300000000
140,1833,1994,32.694333329999999,-117.323333300000000
141,1836,1994,32.682333329999999,-117.274666700000000
142,1839,1994,32.677500000000002,-117.274666700000000
143,1850,1994,32.661333329999998,-117.329333300000000
144,1867,1994,32.646999999999998,-117.187333300000010
145,1871,1994,32.642000000000003,-117.311666700000000
146,1874,1994,32.640000000000001,-117.430166700000000
147,1888,1994,32.630000000000003,-117.349000000000000
148,189,1994,34.399050000000003,-119.621033299999990
149,1892,1994,32.627499999999998,-117.274500000000000
150,1903,1994,32.619333330000003,-117.334999999999990
151,1905,1994,32.618666670000003,-117.422333300000010
152,1908,1994,32.616833329999999,-117.346666700000000
153,1916,1994,32.608499999999999,-117.398333300000000
154,1944,1994,32.590000000000003,-117.161166700000000
155,2001,1994,32.545499999999997,-117.232500000000000
156,2011,1994,32.542666670000003,-117.192666700000000
157,228,1994,34.388366670000003,-119.788500000000000
158,232,1994,34.386733329999998,-119.814200000000000
159,234,1994,34.385783330000002,-119.680783300000000
160,245,1994,34.382449999999999,-120.414649999999990
161,252,1994,34.380933329999998,-119.626616700000000
162,255,1994,34.380000000000003,-120.399100000000000
163,289,1994,34.369399999999999,-119.647216700000000
164,297,1994,34.364950000000000,-119.542350000000000
165,32,1994,34.447733329999998,-120.223016700000000
166,334,1994,34.351149999999997,-119.775899999999990
167,360,1994,34.341216670000001,-119.691083300000000
168,365,1994,34.337666669999997,-119.764616700000000
169,366,1994,34.337483329999998,-119.446816700000000
170,371,1994,34.335166670000000,-119.642750000000010
171,38,1994,34.444200000000002,-120.064483300000010
172,381,1994,34.331249999999997,-119.783649999999990
173,398,1994,34.324233329999998,-119.533116699999990
174,407,1994,34.321566670000003,-119.562733300000000
175,446,1994,34.301616670000001,-119.680366699999990
176,46,1994,34.440666669999999,-120.301750000000000
177,460,1994,34.293849999999999,-119.600483299999990
178,474,1994,34.286650000000002,-119.510700000000000
179,480,1994,34.284883330000000,-119.642366700000000
180,499,1994,34.274466670000002,-119.643383300000000
181,502,1994,34.273150000000001,-119.409433300000000
182,503,1994,34.272900000000000,-119.575350000000000
183,530,1994,34.258166670000001,-119.325533300000000
184,533,1994,34.257449999999999,-119.329883300000010
185,535,1994,34.256149999999998,-119.539950000000000
186,537,1994,34.254330000000003,-119.435019999999990
187,540,1994,34.254100000000001,-119.307233299999990
188,542,1994,34.254016669999999,-119.492033300000000
189,552,1994,34.250133329999997,-119.285850000000000
190,560,1994,34.246066669999998,-119.282933300000000
191,577,1994,34.240083329999997,-119.599333300000000
192,59,1994,34.436666670000001,-120.233066699999990
193,595,1994,34.232533330000003,-119.291983300000000
194,60,1994,34.436100000000003,-120.004483300000000
195,604,1994,34.227550000000001,-119.618916700000000
196,617,1994,34.222999999999999,-119.282300000000010
197,621,1994,34.220066670000001,-119.373900000000010
198,652,1994,34.208199999999998,-119.347216700000000
